Designator,Mid X,Mid Y,Layer,Rotation
C1,83.000000mm,19.000000mm,Top,90
C2,83.000000mm,24.000000mm,Top,90
C3,67.500000mm,24.250000mm,Top,270
C4,67.500000mm,19.500000mm,Top,270
C5,83.000000mm,15.750000mm,Top,270
C6,83.000000mm,27.000000mm,Top,270
C7,83.000000mm,38.250000mm,Top,90
C8,50.500000mm,28.050000mm,Top,180
C9,13.900000mm,29.000000mm,Top,450
C10,17.800000mm,31.250000mm,Top,90
C11,17.800000mm,28.250000mm,Top,270
C12,28.200000mm,28.250000mm,Top,90
C13,24.100000mm,12.300000mm,Top,45
C14,23.900000mm,14.300000mm,Top,45
C15,27.175000mm,2.125000mm,Top,270
C16,28.675000mm,2.125000mm,Top,270
C17,23.000000mm,24.212500mm,Top,90
C18,44.000000mm,31.500000mm,Top,315
C19,74.500000mm,11.712500mm,Top,90
C20,50.700000mm,15.600000mm,Top,90
C21,61.750000mm,26.250000mm,Top,135
C22,59.750000mm,29.750000mm,Top,225
C23,46.000000mm,21.000000mm,Top,45
C24,44.900000mm,22.100000mm,Top,45
C25,37.693153mm,26.293153mm,Top,270
C26,40.100000mm,26.200000mm,Top,315
C27,45.250000mm,33.750000mm,Top,45
C28,46.500000mm,32.500000mm,Top,45
C29,52.250000mm,37.000000mm,Top,225
C30,57.750000mm,21.000000mm,Top,45
C31,56.500000mm,22.250000mm,Top,45
C32,57.500000mm,18.500000mm,Top,180
C33,59.750000mm,24.250000mm,Top,135
C34,43.250000mm,38.000000mm,Top,135
C35,41.806847mm,24.556847mm,Top,45
C36,60.750000mm,28.500000mm,Top,225
C37,55.000000mm,20.500000mm,Top,135
C38,58.050000mm,34.300000mm,Top,90
C39,30.440000mm,29.010000mm,Top,180
C40,19.300000mm,28.250000mm,Top,90
C41,19.300000mm,32.150000mm,Top,90
C42,35.750000mm,31.950000mm,Top,0
C43,35.750000mm,33.450000mm,Top,0
C44,35.750000mm,34.950000mm,Top,0
C45,37.450000mm,29.500000mm,Top,180
C46,17.910000mm,40.655000mm,Top,90
C47,17.910000mm,37.655000mm,Top,270
C48,28.310000mm,37.655000mm,Top,90
C49,30.550000mm,38.415000mm,Top,180
C50,19.410000mm,37.655000mm,Top,90
C51,19.410000mm,41.555000mm,Top,90
C52,35.860000mm,41.355000mm,Top,0
C53,35.860000mm,42.855000mm,Top,0
C54,35.860000mm,44.355000mm,Top,0
C55,37.600000mm,38.900000mm,Top,180
C56,57.400000mm,7.650000mm,Top,0
D1,44.100000mm,28.900000mm,Top,0
D2,24.700000mm,24.610000mm,Top,270
D3,57.000000mm,11.000000mm,Top,0
D4,33.000000mm,47.962500mm,Top,270
D5,31.000000mm,47.962500mm,Top,270
D6,29.000000mm,47.962500mm,Top,270
D7,27.000000mm,47.962500mm,Top,270
D8,25.000000mm,47.962500mm,Top,270
D9,23.000000mm,47.962500mm,Top,270
D10,21.000000mm,47.962500mm,Top,270
D11,19.000000mm,47.962500mm,Top,270
D12,23.700000mm,33.900000mm,Top,180
D13,23.810000mm,43.305000mm,Top,180
FB1,7.000000mm,29.000000mm,Top,180
L1,23.000000mm,3.500000mm,Top,0
L2,30.850000mm,32.600000mm,Top,0
L3,30.960000mm,42.005000mm,Top,0
R1,13.587500mm,46.450000mm,Top,0
R2,47.500000mm,28.050000mm,Top,180
R3,34.300000mm,37.650000mm,Top,270
R4,32.800000mm,37.650000mm,Top,90
R5,34.200000mm,28.250000mm,Top,270
R6,32.700000mm,28.250000mm,Top,90
R7,35.650000mm,22.250000mm,Top,90
R8,25.000000mm,16.500000mm,Top,315
R9,28.600000mm,16.800000mm,Top,225
R10,42.450000mm,8.650000mm,Top,135
R11,44.650000mm,10.950000mm,Top,135
R12,45.400000mm,12.500000mm,Top,135
R13,41.906847mm,11.543153mm,Top,135
R14,43.100000mm,23.300000mm,Top,45
R15,42.543153mm,13.056847mm,Top,135
R16,43.300000mm,14.600000mm,Top,315
R17,33.400000mm,2.400000mm,Top,315
R18,26.400000mm,24.210000mm,Top,90
R19,26.400000mm,14.600000mm,Top,45
R20,7.000000mm,27.000000mm,Top,180
R21,2.787500mm,27.000000mm,Top,180
R22,10.000000mm,6.500000mm,Top,0
R23,10.000000mm,8.000000mm,Top,0
R24,16.750000mm,8.000000mm,Top,180
R25,47.600000mm,30.400000mm,Top,135
R26,54.400000mm,23.300000mm,Top,315
R27,58.250000mm,16.000000mm,Top,270
R28,46.500000mm,7.650000mm,Top,0
R29,50.000000mm,7.650000mm,Top,180
R30,54.437500mm,7.650000mm,Top,0
R31,53.000000mm,17.500000mm,Top,315
R32,33.000000mm,51.787500mm,Top,90
R33,31.000000mm,51.787500mm,Top,90
R34,29.000000mm,51.787500mm,Top,90
R35,27.000000mm,51.787500mm,Top,90
R36,25.000000mm,51.787500mm,Top,90
R37,23.000000mm,51.787500mm,Top,90
R38,21.000000mm,51.787500mm,Top,90
R39,19.000000mm,51.787500mm,Top,90
R40,54.875000mm,27.412500mm,Top,90
R41,53.400000mm,27.400000mm,Top,90
R42,72.162500mm,5.000000mm,Top,180
R43,30.450000mm,27.550000mm,Top,0
R44,30.560000mm,36.955000mm,Top,0
R45,10.910000mm,27.150000mm,Top,270
R46,9.450000mm,27.150000mm,Top,90
R47,60.400000mm,7.650000mm,Top,0
R48,46.500000mm,37.700000mm,Top,225
SW1,44.250000mm,4.000000mm,Top,0
SW2,52.250000mm,4.000000mm,Top,0
SW3,60.250000mm,4.000000mm,Top,0
U1,75.250000mm,27.000000mm,Top,180
U2,49.000000mm,25.300000mm,Top,-90
U3,23.750000mm,29.450000mm,Top,-90
U4,23.860000mm,38.855000mm,Top,-90
U5,30.250000mm,10.000000mm,Top,45
U7,69.000000mm,9.000000mm,Top,-90
U8,53.600000mm,31.600000mm,Top,-90
U9,13.600000mm,49.500000mm,Top,450
U10,17.500000mm,4.000000mm,Top,180
U11,24.700000mm,20.700000mm,Top,180
U12,42.200000mm,43.800000mm,Top,270
U13,63.000000mm,43.800000mm,Top,270
U14,45.800000mm,43.800000mm,Top,270
U15,68.200000mm,43.800000mm,Top,270
X1,31.000000mm,22.000000mm,Top,180
X2,62.960000mm,16.100000mm,Top,0
